System,Mass1,Error,Mass2,Error,Radius1,Error,Radius2,Error,SOURCE:https://www.astro.keele.ac.uk/jkt/debcat/
1SWASP J093010.78+533859.5,0.766,0.01,0.644,0.012,0.757,0,0.743,0.01,
2MASS J12220147-5737565,0.7354,0.005,0.668,0.0044,0.976,0.01,0.942,0.015,
V40 CMa,0.733,0,0.662,0.005,0.72,0,0.68,0.02,
M5 V54,0.726,0.01,0.555,0.008,1.006,0,0.528,0.005,
ASAS J082552-1622.8,0.7029,0.004,0.6872,0.0049,0.694,0,0.699,0.013,
NSVS 10653195,0.6402,0.005,0.6511,0.0052,0.687,0.02,0.672,0.02,
GU Boo,0.61,0,0.599,0.006,0.623,0.01,0.62,0.02,
YY Gem,0.5975,0.004,0.6009,0.0047,0.6196,0.005,0.6036,0.0057,
LP 819-72,0.59,0,0.65,0.02,0.6,0,0.58,0.01,
MG1-506664,0.584,0,0.544,0.002,0.56,0,0.513,0.008,
MG1-116309,0.567,0,0.532,0.002,0.552,0.01,0.532,0.009,
MG1-78457,0.527,0,0.491,0.002,0.505,0.01,0.471,0.012,
MG1-646680,0.499,0,0.443,0.002,0.457,0,0.427,0.006,
THOR 42,0.497,0,0.205,0.002,0.659,0,0.424,0.002,
MG1-2056316,0.469,0,0.382,0.002,0.441,0,0.374,0.003,
HAT-TR-318-007,0.448,0,0.2721,0.0042,0.4548,0.003,0.2913,0.0024,
CU Cnc,0.4358,0,0.3998,0.0014,0.4317,0.005,0.3908,0.0094,
NGTS 0002-29,0.3978,0.003,0.2245,0.0018,0.4037,0.004,0.2759,0.0055,
PTFEB 132.707+19.810,0.3953,0.002,0.2098,0.0014,0.363,0,0.272,0.012,
LSPM J1112+7626,0.3946,0.002,0.2745,0.0012,0.386,0.005,0.2978,0.0048,
UScoCTIO 5,0.3393,0.002,0.3263,0.002,0.8733,0.002,0.8376,0.0024,
KOI-12 BC,0.2352,0,0.2073,0.0006,0.2545,0,0.2315,0.0007,
CM Dra,0.225,0,0.2101,0.0003,0.251,0,0.2375,0.0002,
TOI-450,0.1768,0,0.1767,0.0003,0.345,0,0.346,0.006,
NGTS J052218.2-250710.4,0.1739,0.001,0.1742,0.0013,0.2045,0.004,0.2168,0.0048,
